,Congress (Years),# of House Seats,Democrats,Republicans,Other,Del./Res.,Year,Congress
0,78th (1943–1945),435,222,209,"Progressives (2),Farmer-Labor (1),American Labor (1)",2/2,(1943–1945),78th
1,79th (1945–1947),435,244,189,"Progressives (1),American Labor (1)",2/2,(1945–1947),79th
2,80th (1947–1949),435,188,246,American Labor (1),2/1,(1947–1949),80th
3,81st (1949–1951),435,263,171,American Labor (1),2/1,(1949–1951),81st
4,82nd (1951–1953),435,235,199,Independent (1),2/1,(1951–1953),82nd
5,83rd (1953–1955),435,213,221,Independent (1),2/1,(1953–1955),83rd
6,84th (1955–1957),435,232,203,0,2/1,(1955–1957),84th
8,85th (1957–1959),435,232,203,0,2/1,(1957–1959),85th
9,86th (1959–1961),4363,282,153,Independent Democrat (1),1/1,(1959–1961),86th
10,87th (1961–1963),437,264,173,0,0/1,(1961–1963),87th
11,88th (1963–1965),435,258,176,Independent Democrat (1),0/1,(1963–1965),88th
12,89th (1965–1967),435,295,140,0,0/1,(1965–1967),89th
13,90th (1967–1969),435,248,187,0,0/1,(1967–1969),90th
14,91st (1969–1971),435,243,192,0,0/1,(1969–1971),91st
15,92nd (1971–1973),435,255,180,0,1/1,(1971–1973),92nd
16,93rd (1973–1975),435,243,192,0,3/1,(1973–1975),93rd
17,94th (1975–1977),435,291,144,0,3/1,(1975–1977),94th
19,95th (1977–1979),435,292,143,0,3/1,(1977–1979),95th
20,96th (1979–1981),435,278,157,0,3/1,(1979–1981),96th
21,97th (1981–1983),435,243,192,0,4/1,(1981–1983),97th
22,98th (1983–1985),435,269,166,0,4/1,(1983–1985),98th
23,99th (1985–1987),435,254,181,0,4/1,(1985–1987),99th
24,100th (1987–1989),435,258,177,0,4/1,(1987–1989),100th
25,101st (1989–1991),435,260,175,0,4/1,(1989–1991),101st
26,102nd (1991–1993),435,267,167,Independent (1),4/1,(1991–1993),102nd
27,103rd (1993–1995),435,258,176,Independent (1),4/1,(1993–1995),103rd
28,104th (1995–1997),435,204,230,Independent (1),4/1,(1995–1997),104th
30,105th (1997–1999),435,207,226,Independent (2),4/1,(1997–1999),105th
31,106th (1999–2001),435,211,223,Independent (1),4/1,(1999–2001),106th
32,107th (2001–2003),435,212,221,Independent (2),4/1,(2001–2003),107th
33,108th (2003–2005),435,205,229,Independent (1),4/1,(2003–2005),108th
34,109th (2005–2007),435,201,233,Independent (1),4/1,(2005–2007),109th
35,110th (2007–2009),435,233,202,0,4/1,(2007–2009),110th
36,111th (2009–2011),435,257,178,0,5/1,(2009–2011),111th
37,112th (2011–2013),435,193,242,0,5/1,(2011–2013),112th
38,113th (2013–2015),435,201,234,0,5/1,(2013–2015),113th
39,114th (2015–2017),435,188,247,0,5/1,(2015–2017),114th
